"2022-09-06 22:04:37pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '4' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/cart"
"2022-09-06 22:38:42pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '15' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/cart"
"2022-09-06 22:38:45pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '11' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/cart"
"2022-09-06 22:38:47pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '7' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/cart"
"2022-09-06 22:50:28pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `product_name`, `quantity`, `net_price`, `total_amt`, `mrp`, `discount`, `discount_amt`, `gst`, `gst_amt`, `image`) VALUES('1', '13', 'Panasonic 20L Solo Microwave Oven (NN-ST26JMFDG, Silver, 51 Auto Menus)', '1', '7076.46', 7076.46, '7890', '24', '24'_amt, '18', '18'_amt, 'cover_image.jpg') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/panasonic-20l-solo-microwave-oven-nn-st26jmfdg-silver-51-auto-menus"
"2022-09-06 22:50:35pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `product_name`, `quantity`, `net_price`, `total_amt`, `mrp`, `discount`, `discount_amt`, `gst`, `gst_amt`, `image`) VALUES('1', '14', 'sports shoes for men', '1', '688.47', 688.47, '1299', '47', '47'_amt, '0', '0'_amt, 'cover_image.jpg') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/sports-shoes-for-men"
"2022-09-06 22:50:41pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `product_name`, `quantity`, `net_price`, `total_amt`, `mrp`, `discount`, `discount_amt`, `gst`, `gst_amt`, `image`) VALUES('1', '1', 'Dell Inspiron 3525 Laptop', '1', '37099.2', 37099.2, '46236', '32', '32'_amt, '18', '18'_amt, 'cover_image.jpg') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/dell-inspiron-3525-laptop"
"2022-09-06 22:50:56pm "," update "," UPDATE customer_cart SET `quantity` = '2', `net_price` = '37099.2', `total_amt` = 74198.4 WHERE 1=1  and customer_id = '1' and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-09-06 22:50:58pm "," update "," UPDATE customer_cart SET `quantity` = '1', `net_price` = '37099.2', `total_amt` = 37099.2 WHERE 1=1  and customer_id = '1' and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-09-06 22:51:00pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '1' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/cart"
"2022-09-06 22:51:07pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '14' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/cart"
"2022-09-06 22:51:51pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `product_name`, `quantity`, `net_price`, `total_amt`, `mrp`, `discount`, `discount_amt`, `gst`, `gst_amt`, `image`) VALUES('1', '15', 'AWG ALL WEATHER GEAR', '1', '699', 699, '699', '', ''_amt, '0', '0'_amt, 'cover_image.jpg') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/awg-all-weather-gear"
"2022-09-06 22:52:02pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `product_name`, `quantity`, `net_price`, `total_amt`, `mrp`, `discount`, `discount_amt`, `gst`, `gst_amt`, `image`) VALUES('1', '7', 'Maggi Professional Pasta Sauce Mix', '1', '374', 374, '425', '12', '12'_amt, '0', '0'_amt, 'cover_image.jpg') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/maggi-professional-pasta-sauce-mix"
"2022-09-06 22:52:11pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `product_name`, `quantity`, `net_price`, `total_amt`, `mrp`, `discount`, `discount_amt`, `gst`, `gst_amt`, `image`) VALUES('1', '11', 'tresemme Keratin Smooth Shampoo', '1', '607.24', 607.24, '799', '24', '24'_amt, '0', '0'_amt, 'cover_image.jpg') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/tresemme-keratin-smooth-shampoo"
"2022-09-06 22:52:36pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '11' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/cart"
"2022-09-06 22:52:39pm "," update "," UPDATE customer_cart SET `quantity` = '1', `net_price` = '374', `total_amt` = 374 WHERE 1=1  and customer_id = '1' and product_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-09-06 22:52:41pm "," update "," UPDATE customer_cart SET `quantity` = '2', `net_price` = '374', `total_amt` = 748 WHERE 1=1  and customer_id = '1' and product_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-09-06 22:52:53pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '7' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/cart"
"2022-09-06 22:53:00pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '15' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/cart"
