"2022-08-02 02:34:32am "," update "," UPDATE category SET `child_category` = '' WHERE 1=1  and category_id = NULL "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/edit-category/9"
"2022-08-02 02:45:23am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Category-1', 'category-1', '', '1,2', 'Category-1', '', '1', '2022-08-01 23:15:23') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:45:23am "," update "," UPDATE category SET `hierarchy` = '1' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:45:23am "," update "," UPDATE category SET `child_category` = '' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:45:47am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Category-2', 'category-2', '', '3,4', 'Category-2', '', '1', '2022-08-01 23:15:47') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:45:47am "," update "," UPDATE category SET `hierarchy` = '2' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:45:47am "," update "," UPDATE category SET `child_category` = '' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:46:05am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Category -3', 'category-3', '', '5,8', 'Category -3', '', '1', '2022-08-01 23:16:05') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:46:05am "," update "," UPDATE category SET `hierarchy` = '3' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:46:05am "," update "," UPDATE category SET `child_category` = '' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:46:21am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Category -4', 'category-4', '', '5,8', 'Category -4', '', '1', '2022-08-01 23:16:21') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:46:21am "," update "," UPDATE category SET `hierarchy` = '4' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:46:21am "," update "," UPDATE category SET `child_category` = '' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:46:44am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Category-5', 'category-5', '', '2,7', 'Category-5', '', '1', '2022-08-01 23:16:44') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:46:44am "," update "," UPDATE category SET `hierarchy` = '5' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:46:44am "," update "," UPDATE category SET `child_category` = '' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:47:23am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Category-1.1', 'category-1.1', '1', '', 'Category-1.1', '', '1', '2022-08-01 23:17:23') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:47:23am "," update "," UPDATE category SET `hierarchy` = '5,6' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:47:23am "," update "," UPDATE category SET `child_category` = '' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:47:44am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Category-1.2', 'category-1.2', '1', '', 'Category-1.2', '', '1', '2022-08-01 23:17:44') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:47:44am "," update "," UPDATE category SET `hierarchy` = '5,6,7' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:47:44am "," update "," UPDATE category SET `child_category` = '' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:48:16am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Category-1.3', 'category-1.3', '1', '', 'Category-1.3', '', '1', '2022-08-01 23:18:16') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:48:16am "," update "," UPDATE category SET `hierarchy` = '5,6,7,8' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:48:16am "," update "," UPDATE category SET `child_category` = '' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:48:28am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Category-1.4', 'category-1.4', '1', '', 'Category-1.4', '', '1', '2022-08-01 23:18:28') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:48:28am "," update "," UPDATE category SET `hierarchy` = '5,6,7,8,9' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:48:28am "," update "," UPDATE category SET `child_category` = '' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:55:09am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Category-1', 'category-1', '', '1', 'Category-1', '', '1', '2022-08-01 23:25:09') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:55:09am "," update "," UPDATE category SET `hierarchy` = '1' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:55:09am "," update "," UPDATE category SET `child_category` = '' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:55:32am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Category-2', 'category-2', '', '2', 'Category-2', '', '1', '2022-08-01 23:25:32') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:55:32am "," update "," UPDATE category SET `hierarchy` = '2' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:55:32am "," update "," UPDATE category SET `child_category` = '' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:58:05am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Category -3', 'category-3', '', '5', 'Category -3', '', '1', '2022-08-01 23:28:05') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:58:05am "," update "," UPDATE category SET `hierarchy` = '3' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:59:25am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `brand_id`, `description`, `category_image`, `created_by`, `created`) VALUES('Category -3', 'category-3', '', '', 'Category -3', '', '1', '2022-08-01 23:29:25') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-08-02 02:59:25am "," update "," UPDATE category SET `hierarchy` = '3' WHERE 1=1  "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
