"2022-11-26 03:00:07am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('12Y+', '1', '2022-11-26 03:00:07') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-11-26 03:09:15am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('T-Shirts', 'boys-t-shirts', '37', '', 'T-Shirts', 'kids_tshirt1.jpg', '1', '', '', '', '', '2022-11-26 03:09:15') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:09:15am "," update "," UPDATE category SET `hierarchy` = '3,37,39' WHERE 1=1  and category_id = '39' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:09:15am "," update "," UPDATE category SET `child_category` = '39' WHERE 1=1  and category_id = '37' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:09:34am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Shirts', 'boys-shirts', '37', '', 'Shirts', 'kids_shirt.webp', '1', '', '', '', '', '2022-11-26 03:09:34') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:09:34am "," update "," UPDATE category SET `hierarchy` = '3,37,40' WHERE 1=1  and category_id = '40' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:09:34am "," update "," UPDATE category SET `child_category` = '39,40' WHERE 1=1  and category_id = '37' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:09:55am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Shorts', 'boys-shorts', '37', '', 'Shorts', 'kids_tshirt2.jpg', '1', '', '', '', '', '2022-11-26 03:09:55') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:09:55am "," update "," UPDATE category SET `hierarchy` = '3,37,41' WHERE 1=1  and category_id = '41' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:09:55am "," update "," UPDATE category SET `child_category` = '39,40,41' WHERE 1=1  and category_id = '37' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:10:13am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Jeans', 'boys-jeans', '37', '', 'Jeans', 'kids_jeans1.webp', '1', '', '', '', '', '2022-11-26 03:10:13') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:10:13am "," update "," UPDATE category SET `hierarchy` = '3,37,42' WHERE 1=1  and category_id = '42' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:10:13am "," update "," UPDATE category SET `child_category` = '39,40,41,42' WHERE 1=1  and category_id = '37' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:10:30am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Ethnic Wear', 'boys-ethnic-wear', '37', '', 'Ethnic Wear', 'kids_traditional_wear.webp', '1', '', '', '', '', '2022-11-26 03:10:30') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:10:30am "," update "," UPDATE category SET `hierarchy` = '3,37,43' WHERE 1=1  and category_id = '43' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:10:30am "," update "," UPDATE category SET `child_category` = '39,40,41,42,43' WHERE 1=1  and category_id = '37' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:10:49am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Party Wear', 'boys-party-wear', '37', '', 'Party Wear', 'kids_jeans2.webp', '1', '', '', '', '', '2022-11-26 03:10:49') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:10:49am "," update "," UPDATE category SET `hierarchy` = '3,37,44' WHERE 1=1  and category_id = '44' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:10:49am "," update "," UPDATE category SET `child_category` = '39,40,41,42,43,44' WHERE 1=1  and category_id = '37' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:11:14am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Track Pants & Pyjamas', 'boys-track-pants-pyjamas', '37', '', 'Track Pants & Pyjamas', 'kids_trackpants.webp', '1', '', '', '', '', '2022-11-26 03:11:14') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:11:14am "," update "," UPDATE category SET `hierarchy` = '3,37,45' WHERE 1=1  and category_id = '45' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:11:14am "," update "," UPDATE category SET `child_category` = '39,40,41,42,43,44,45' WHERE 1=1  and category_id = '37' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:11:41am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Trousers', 'boys-trousers', '37', '', 'Trousers', 'kids_shirt1.webp', '1', '', '', '', '', '2022-11-26 03:11:41') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:11:41am "," update "," UPDATE category SET `hierarchy` = '3,37,46' WHERE 1=1  and category_id = '46' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:11:41am "," update "," UPDATE category SET `child_category` = '39,40,41,42,43,44,45,46' WHERE 1=1  and category_id = '37' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:19:24am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Dresses', 'girls-dresses', '38', '', 'Dresses', 'kids_jacket2.webp', '1', '', '', '', '', '2022-11-26 03:19:24') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:19:24am "," update "," UPDATE category SET `hierarchy` = '3,38,47' WHERE 1=1  and category_id = '47' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:19:24am "," update "," UPDATE category SET `child_category` = '47' WHERE 1=1  and category_id = '38' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:19:42am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Tops', 'girls-tops', '38', '', 'Tops', 'kids_jacket3.webp', '1', '', '', '', '', '2022-11-26 03:19:42') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:19:42am "," update "," UPDATE category SET `hierarchy` = '3,38,48' WHERE 1=1  and category_id = '48' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:19:42am "," update "," UPDATE category SET `child_category` = '47,48' WHERE 1=1  and category_id = '38' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:20:03am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Tshirts', 'girls-tshirts', '38', '', 'Tshirts', 'kids_jacket4.webp', '1', '', '', '', '', '2022-11-26 03:20:03') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:20:03am "," update "," UPDATE category SET `hierarchy` = '3,38,49' WHERE 1=1  and category_id = '49' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:20:03am "," update "," UPDATE category SET `child_category` = '47,48,49' WHERE 1=1  and category_id = '38' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:21:32am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Kurta Sets', 'girls-kurta-sets', '38', '', 'Kurta Sets', 'kids_jacket5.webp', '1', '', '', '', '', '2022-11-26 03:21:32') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:21:32am "," update "," UPDATE category SET `hierarchy` = '3,38,50' WHERE 1=1  and category_id = '50' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:21:32am "," update "," UPDATE category SET `child_category` = '47,48,49,50' WHERE 1=1  and category_id = '38' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:21:54am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Party wear', 'girls-party-wear', '38', '', 'Party wear', 'kids_jacket6.webp', '1', '', '', '', '', '2022-11-26 03:21:54') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:21:54am "," update "," UPDATE category SET `hierarchy` = '3,38,51' WHERE 1=1  and category_id = '51' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:21:54am "," update "," UPDATE category SET `child_category` = '47,48,49,50,51' WHERE 1=1  and category_id = '38' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:22:09am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Dungarees & Jumpsuits', 'girls-dungarees-jumpsuits', '38', '', 'Dungarees & Jumpsuits', 'kids_jacket7.webp', '1', '', '', '', '', '2022-11-26 03:22:09') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:22:09am "," update "," UPDATE category SET `hierarchy` = '3,38,52' WHERE 1=1  and category_id = '52' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:22:09am "," update "," UPDATE category SET `child_category` = '47,48,49,50,51,52' WHERE 1=1  and category_id = '38' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:22:26am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Skirts & shorts', 'girls-skirts-shorts', '38', '', 'Skirts & shorts', 'kids_jacket8.webp', '1', '', '', '', '', '2022-11-26 03:22:26') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:22:26am "," update "," UPDATE category SET `hierarchy` = '3,38,53' WHERE 1=1  and category_id = '53' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:22:26am "," update "," UPDATE category SET `child_category` = '47,48,49,50,51,52,53' WHERE 1=1  and category_id = '38' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:22:45am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Jeans, Trousers & Capris', 'girls-jeans-trousers-capris', '38', '', 'Jeans, Trousers & Capris', 'kids_jacket9.webp', '1', '', '', '', '', '2022-11-26 03:22:45') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:22:45am "," update "," UPDATE category SET `hierarchy` = '3,38,54' WHERE 1=1  and category_id = '54' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:22:45am "," update "," UPDATE category SET `child_category` = '47,48,49,50,51,52,53,54' WHERE 1=1  and category_id = '38' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:23:04am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Jacket, Sweater & Sweatshirts', 'girls-jacket-sweater-sweatshirts', '38', '', 'Jacket, Sweater & Sweatshirts', 'kids_jacket10.webp', '1', '', '', '', '', '2022-11-26 03:23:04') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:23:04am "," update "," UPDATE category SET `hierarchy` = '3,38,55' WHERE 1=1  and category_id = '55' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:23:04am "," update "," UPDATE category SET `child_category` = '47,48,49,50,51,52,53,54,55' WHERE 1=1  and category_id = '38' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:23:21am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Innerwear & Thermals', 'girls-innerwear-thermals', '38', '', 'Innerwear & Thermals', 'kids_jacket11.webp', '1', '', '', '', '', '2022-11-26 03:23:21') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:23:21am "," update "," UPDATE category SET `hierarchy` = '3,38,56' WHERE 1=1  and category_id = '56' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:23:21am "," update "," UPDATE category SET `child_category` = '47,48,49,50,51,52,53,54,55,56' WHERE 1=1  and category_id = '38' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:23:37am "," insert "," INSERT INTO category(`category_name`, `short_code`, `parent_category_id`, `element_id`, `description`, `category_image`, `created_by`, `return_or_replace`, `return_replace_validity`, `policy_covers`, `return_policy`, `created`) VALUES('Tights & Leggings', 'girls-tights-leggings', '38', '', 'Tights & Leggings', 'kids_jacket12.webp', '1', '', '', '', '', '2022-11-26 03:23:37') "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:23:37am "," update "," UPDATE category SET `hierarchy` = '3,38,57' WHERE 1=1  and category_id = '57' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:23:37am "," update "," UPDATE category SET `child_category` = '47,48,49,50,51,52,53,54,55,56,57' WHERE 1=1  and category_id = '38' "," ::1 "," URL: http://localhost/MultiVendor/submit-category "," R: http://localhost/MultiVendor/add-category"
"2022-11-26 03:52:14am "," insert "," INSERT INTO product_details(`product_name`, `product_code`, `short_code`, `short_description`, `description`, `brand_id`, `category_id`, `child_category`, `vendor_id`, `unit_price`, `mrp_price`, `discount`, `net_price`, `tax`, `qty`, `gst_amt`, `discount_amt`, `cover_img`, `stock`, `is_new_product`, `is_popular_product`, `is_feature_product`, `meta_title`, `meta_description`, `meta_keyword`, `created_by`, `created`, `warranty_title`, `warranty_detail`) VALUES('Men White Pure Cotton T-shirt', 'Product-01', 'men-white-pure-cotton-t-shirt-s-white-vnky8c75', 'White solid T-shirt, has a round neck, short sleeves', '<div class=""row""><div class=""col-12 col-md-3""><h5><strong>Size &amp; Fit</strong></h5><ul><li style=""list-style-type: circle;"">Regular Fit</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Fabric</strong></h5><ul><li style=""list-style-type: circle;"">Pure Cotton</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Neck</strong></h5><ul><li style=""list-style-type: circle;"">Round Neck</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Sleeve Styling</strong></h5><ul><li style=""list-style-type: circle;"">Regular Sleeves</li></ul></div></div>', '30', '1', '9', '1', '399', 447, '53', 210, '12', '', 47.88, '53'_amt, '', '30', 1, 0, 0, '', '', '', '1', '2022-11-26 03:52:14', '', '') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-11-26 03:52:14am "," update "," UPDATE product_details SET `image` = NULL WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-11-26 03:52:14am "," update "," UPDATE product_details SET `short_code` = 'men-white-pure-cotton-t-shirt-s-white-vnky8c75-1' WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-11-26 03:52:14am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('1', 1, '1', '2022-11-26 03:52:14') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-11-26 03:52:14am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('1', 2, '11', '2022-11-26 03:52:14') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
