"2022-09-14 22:01:44pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('1', '10', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/nihar-naturals-non-sticky-coconut-with-methi-jasmine-hair-oil-for-thick-strong-hair-hair-oil-400"
"2022-09-14 22:32:15pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/api/MultivendorApi/addOrder "," R: "
"2022-09-14 22:38:45pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('1', '10', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/nihar-naturals-non-sticky-coconut-with-methi-jasmine-hair-oil-for-thick-strong-hair-hair-oil-400"
"2022-09-14 22:39:30pm "," update "," UPDATE customer_cart SET `quantity` = '2' WHERE 1=1  and customer_id = '1' and product_id = '10' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-09-14 22:39:57pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`) VALUES('1', '11', '1') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/tresemme-keratin-smooth-shampoo"
"2022-09-14 22:40:39pm "," update "," UPDATE customer_cart SET `quantity` = '2' WHERE 1=1  and customer_id = '1' and product_id = '11' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-09-14 22:41:14pm "," insert "," INSERT INTO orders(`order_number`, `customer_id`, `total_item`, `total_mrp`, `total_quantity`, `total_amount`, `gst_amount`, `discount_amt`, `order_date`, `is_active`, `delivery_status_id`, `shipping_address`) VALUES('ORD-1', '1', 2, 1098, 4, 862, 0, 235.52, '2022-09-14', 1, 1, '<strong>Roshni Lad</strong><br>05,mahyavanshi area,segvi ,<br>valsad , Gujarat ,<br>India - 3963001<br>Phone no : 08866594677') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-14 22:41:14pm "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `mrp_price`, `total_amt`, `discount`, `discount_amt`, `gst`, `gst_amt`) VALUES('1', '10', 'Nihar Naturals Non Sticky, Coconut with Methi & Jasmine Hair Oil For Thick & Strong Hair Hair Oil (400 ML)', '2', '90', '100', 180, '10', '10'_amt, '0', '0'_amt) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-14 22:41:14pm "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `mrp_price`, `total_amt`, `discount`, `discount_amt`, `gst`, `gst_amt`) VALUES('1', '11', 'tresemme Keratin Smooth Shampoo', '2', '341', '449', 682, '24', '24'_amt, '0', '0'_amt) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-14 22:41:14pm "," insert "," INSERT INTO stock_details(`product_id`, `old_stock`, `current_stock`, `status`) VALUES('11', '-3', -5, 0) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-14 22:41:14pm "," update "," UPDATE product_details SET `stock` = -5 WHERE 1=1  and product_id = '11' "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-14 22:41:14pm "," insert "," INSERT INTO payment_details(`payment_mode`, `order_id`, `customer_id`, `total_pay_amount`, `payment_date`, `pay_status`) VALUES('cod', '1', '1', 862, '2022-09-14', 1) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-09-14 22:41:14pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
