"2023-01-18 23:06:01pm "," update "," UPDATE product_details SET `view_count` = 20 WHERE 1=1  and product_id = '132' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/boys-yellow-typography-printed-t-shirt-7y-8y-vne98q7y-132 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 23:11:57pm "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `mrp_price`, `total_amt`, `discount`, `return_or_replace`, `return_replace_validity`, `discount_amt`, `gst`, `gst_amt`, `vendor_id`, `elements_attributes`, `order_date`) VALUES('1', '21', 'Men Olive Green Printed Tropical Slim Fit T-shirt', '1', '470', '1176', 470, '60', 'return,replace', '7', '60'_amt, '12', '12'_amt, '1', '{""Size"":""M"",""Color"":""GREEN""}', '2023-01-18') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2023-01-18 23:11:57pm "," insert "," INSERT INTO payment_details(`payment_mode`, `order_id`, `customer_id`, `total_pay_amount`, `payment_date`, `pay_status`) VALUES('cod', '1', '1', 1254, '2023-01-18', 1) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2023-01-18 23:11:57pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2023-01-18 23:18:15pm "," update "," UPDATE product_details SET `view_count` = 163 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 23:18:17pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '1', '1', '{""1"":""1"",""2"":""11""}') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1"
"2023-01-18 23:18:35pm "," insert "," INSERT INTO orders(`order_number`, `customer_id`, `total_item`, `total_mrp`, `total_quantity`, `total_amount`, `gst_amount`, `discount_amt`, `order_date`, `is_active`, `delivery_status_id`, `shipping_address`, `delivery_address`) VALUES('OD202223-11674064115', '1', 1, 447, 1, 210, 47.88, 236.91, '2023-01-18', 1, 1, '<strong>Roshni Mistry</strong><br>test,30 valsad ,<br>valsad , Haryana ,<br>India - 3963001<br>Phone no : 08866594677', '{""name"":""Roshni Mistry"",""mobile"":""08866594677"",""address"":""test,30 valsad ,\u003Cbr\u003Evalsad , Haryana ,\u003Cbr\u003EIndia - 3963001"",""city"":""valsad"",""state"":""Haryana"",""country"":""India"",""pincode"":""3963001""}') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2023-01-18 23:18:35pm "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `mrp_price`, `total_amt`, `discount`, `return_or_replace`, `return_replace_validity`, `discount_amt`, `gst`, `gst_amt`, `vendor_id`, `elements_attributes`, `order_date`) VALUES('1', '1', 'Men White Pure Cotton T-shirt', '1', '210', '447', 210, '53', 'return,replace', '7', '53'_amt, '12', '12'_amt, '1', '{""Size"":""S"",""Color"":""WHITE""}', '2023-01-18') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2023-01-18 23:18:35pm "," insert "," INSERT INTO payment_details(`payment_mode`, `order_id`, `customer_id`, `total_pay_amount`, `payment_date`, `pay_status`) VALUES('cod', '1', '1', 210, '2023-01-18', 1) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2023-01-18 23:18:35pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2023-01-18 23:23:13pm "," update "," UPDATE orders SET `delivery_status_id` = '2' WHERE 1=1  and order_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order-confirmed"
"2023-01-18 23:23:13pm "," update "," UPDATE order_details SET `deliver_date` = '2023-01-18' WHERE 1=1  and order_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order-confirmed"
"2023-01-18 23:24:12pm "," update "," UPDATE orders SET `delivery_status_id` = '3' WHERE 1=1  and order_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order-processing"
"2023-01-18 23:24:12pm "," update "," UPDATE order_details SET `deliver_date` = '2023-01-18' WHERE 1=1  and order_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order-processing"
"2023-01-18 23:24:36pm "," update "," UPDATE orders SET `delivery_status_id` = '4' WHERE 1=1  and order_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order-shipped"
"2023-01-18 23:24:36pm "," update "," UPDATE order_details SET `deliver_date` = '2023-01-18' WHERE 1=1  and order_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order-shipped"
"2023-01-18 23:25:10pm "," insert "," INSERT INTO return_request(`request_type`, `customer_id`, `order_id`, `order_no`, `product_id`, `order_date`, `return_request_date`, `return_reason`, `status`, `comments`, `pickup_address`) VALUES('replace', '1', '1', 'OD202223-11674064115', '1', '2023-01-18', '2023-01-18', 'Product with Physical Damage', 'Replace Request Sent', 'test', '<strong>Roshni Mistry</strong><br>test,30 valsad ,<br>valsad , Haryana ,<br>India - 3963001<br>Phone no : 08866594677') "," ::1 "," URL: http://localhost/MultiVendor/submit-replace "," R: http://localhost/MultiVendor/order-detail?id=1"
"2023-01-18 23:26:36pm "," update "," UPDATE product_details SET `view_count` = 164 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 23:26:38pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '1', '1', '{""1"":""1"",""2"":""11""}') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1"
"2023-01-18 23:26:51pm "," insert "," INSERT INTO orders(`order_number`, `customer_id`, `total_item`, `total_mrp`, `total_quantity`, `total_amount`, `gst_amount`, `discount_amt`, `order_date`, `is_active`, `delivery_status_id`, `shipping_address`, `delivery_address`) VALUES('OD202223-11674064611', '1', 1, 447, 1, 210, 47.88, 236.91, '2023-01-18', 1, 1, '<strong>Roshni Mistry</strong><br>test,30 valsad ,<br>valsad , Haryana ,<br>India - 3963001<br>Phone no : 08866594677', '{""name"":""Roshni Mistry"",""mobile"":""08866594677"",""address"":""test,30 valsad ,\u003Cbr\u003Evalsad , Haryana ,\u003Cbr\u003EIndia - 3963001"",""city"":""valsad"",""state"":""Haryana"",""country"":""India"",""pincode"":""3963001""}') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2023-01-18 23:26:51pm "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `mrp_price`, `total_amt`, `discount`, `return_or_replace`, `return_replace_validity`, `discount_amt`, `gst`, `gst_amt`, `vendor_id`, `elements_attributes`, `order_date`) VALUES('2', '1', 'Men White Pure Cotton T-shirt', '1', '210', '447', 210, '53', 'return,replace', '7', '53'_amt, '12', '12'_amt, '1', '{""Size"":""S"",""Color"":""WHITE""}', '2023-01-18') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2023-01-18 23:26:51pm "," insert "," INSERT INTO payment_details(`payment_mode`, `order_id`, `customer_id`, `total_pay_amount`, `payment_date`, `pay_status`) VALUES('cod', '2', '1', 210, '2023-01-18', 1) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2023-01-18 23:26:51pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2023-01-18 23:27:52pm "," update "," UPDATE orders SET `delivery_status_id` = '2' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2023-01-18 23:27:52pm "," update "," UPDATE order_details SET `deliver_date` = '2023-01-18' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2023-01-18 23:27:57pm "," update "," UPDATE orders SET `delivery_status_id` = '3' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order-processing"
"2023-01-18 23:27:57pm "," update "," UPDATE order_details SET `deliver_date` = '2023-01-18' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order-processing"
"2023-01-18 23:28:00pm "," update "," UPDATE orders SET `delivery_status_id` = '4' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order-shipped"
"2023-01-18 23:28:00pm "," update "," UPDATE order_details SET `deliver_date` = '2023-01-18' WHERE 1=1  and order_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order-shipped"
"2023-01-18 23:31:23pm "," update "," UPDATE product_details SET `view_count` = 141 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 23:31:23pm "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '118') "," ::1 "," URL: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 23:31:25pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '118', '1', '{""1"":""2"",""2"":""6""}') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/allen-solly-womens-regular-fit-t-shirt-m-red-vnky8c75-118"
"2023-01-18 23:31:33pm "," insert "," INSERT INTO orders(`order_number`, `customer_id`, `total_item`, `total_mrp`, `total_quantity`, `total_amount`, `gst_amount`, `discount_amt`, `order_date`, `is_active`, `delivery_status_id`, `shipping_address`, `delivery_address`) VALUES('OD202223-11674064893', '1', 1, 250, 1, 250, 0, 0, '2023-01-18', 1, 1, '<strong>Roshni Mistry</strong><br>test,30 valsad ,<br>valsad , Haryana ,<br>India - 3963001<br>Phone no : 08866594677', '{""name"":""Roshni Mistry"",""mobile"":""08866594677"",""address"":""test,30 valsad ,\u003Cbr\u003Evalsad , Haryana ,\u003Cbr\u003EIndia - 3963001"",""city"":""valsad"",""state"":""Haryana"",""country"":""India"",""pincode"":""3963001""}') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2023-01-18 23:31:33pm "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `mrp_price`, `total_amt`, `discount`, `return_or_replace`, `return_replace_validity`, `discount_amt`, `gst`, `gst_amt`, `vendor_id`, `elements_attributes`, `order_date`) VALUES('3', '118', 'Allen Solly Womens Regular Fit T-Shirt', '1', '250', '250', 250, '0', 'return,replace', '7', '0'_amt, '0', '0'_amt, '1', '{""Size"":""M"",""Color"":""RED""}', '2023-01-18') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2023-01-18 23:31:33pm "," insert "," INSERT INTO payment_details(`payment_mode`, `order_id`, `customer_id`, `total_pay_amount`, `payment_date`, `pay_status`) VALUES('cod', '3', '1', 250, '2023-01-18', 1) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2023-01-18 23:31:33pm "," delete "," DELETE FROM customer_cart WHERE 1=1  and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2023-01-18 23:34:01pm "," update "," UPDATE orders SET `delivery_status_id` = '2' WHERE 1=1  and order_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2023-01-18 23:34:01pm "," update "," UPDATE order_details SET `deliver_date` = '2023-01-18' WHERE 1=1  and order_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order"
"2023-01-18 23:34:06pm "," update "," UPDATE orders SET `delivery_status_id` = '3' WHERE 1=1  and order_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order-processing"
"2023-01-18 23:34:06pm "," update "," UPDATE order_details SET `deliver_date` = '2023-01-18' WHERE 1=1  and order_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order-processing"
"2023-01-18 23:34:13pm "," update "," UPDATE orders SET `delivery_status_id` = '4' WHERE 1=1  and order_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order-shipped"
"2023-01-18 23:34:13pm "," update "," UPDATE order_details SET `deliver_date` = '2023-01-18' WHERE 1=1  and order_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/update-delivery-status "," R: http://localhost/MultiVendor/order-shipped"
"2023-01-18 23:37:27pm "," insert "," INSERT INTO return_request(`request_type`, `customer_id`, `order_id`, `order_no`, `product_id`, `order_date`, `return_request_date`, `return_reason`, `status`, `comments`, `pickup_address`, `bank_detail`) VALUES('return', '1', '3', 'OD202223-11674064893', '118', '2023-01-18', '2023-01-18', 'Fake product', 'Return Request Sent', 'test test', '<strong>Roshni Mistry</strong><br>test,30 valsad ,<br>valsad , Haryana ,<br>India - 3963001<br>Phone no : 08866594677', '{""ifsc_code"":""SBIN0005943"",""account_no"":""12345678974"",""account_name"":""Roshni Mistry"",""phone_no"":""8866594677""}') "," ::1 "," URL: http://localhost/MultiVendor/submit-return "," R: http://localhost/MultiVendor/order-detail?id=3"
"2023-01-18 23:37:27pm "," insert "," INSERT INTO return_list(`product_id`, `quantity`, `date`) VALUES('118', '1', '2023-01-18') "," ::1 "," URL: http://localhost/MultiVendor/submit-return "," R: http://localhost/MultiVendor/order-detail?id=3"
"2023-01-18 23:51:15pm "," update "," UPDATE vendor SET `last_login` = '2023-01-18 23:51:15' WHERE 1=1  and vendor_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/login-check "," R: http://localhost/MultiVendor/admin"
