"2023-01-18 04:16:07am "," update "," UPDATE product_details SET `view_count` = 32 WHERE 1=1  and product_id = '129' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 04:19:36am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', NULL, 1, '[]') "," ::1 "," URL: http://localhost/MultiVendor/customer-login "," R: http://localhost/MultiVendor/cart"
"2023-01-18 04:19:36am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', NULL, 1, '[]') "," ::1 "," URL: http://localhost/MultiVendor/customer-login "," R: http://localhost/MultiVendor/cart"
"2023-01-18 04:20:29am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', NULL, 1, '[]') "," ::1 "," URL: http://localhost/MultiVendor/customer-login "," R: http://localhost/MultiVendor/cart"
"2023-01-18 04:20:29am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', NULL, 1, '[]') "," ::1 "," URL: http://localhost/MultiVendor/customer-login "," R: http://localhost/MultiVendor/cart"
"2023-01-18 04:20:29am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', NULL, 1, '[]') "," ::1 "," URL: http://localhost/MultiVendor/customer-login "," R: http://localhost/MultiVendor/cart"
"2023-01-18 04:20:51am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '115', '1', '[]') "," ::1 "," URL: http://localhost/MultiVendor/customer-login "," R: http://localhost/MultiVendor/cart"
"2023-01-18 04:20:51am "," update "," UPDATE customer_cart SET `quantity` = 2, `elements_attributes` = '[]' WHERE 1=1  and cart_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/customer-login "," R: http://localhost/MultiVendor/cart"
"2023-01-18 04:20:51am "," update "," UPDATE customer_cart SET `quantity` = 2, `elements_attributes` = '[]' WHERE 1=1  and cart_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/customer-login "," R: http://localhost/MultiVendor/cart"
"2023-01-18 04:21:11am "," update "," UPDATE customer_cart SET `quantity` = 2, `elements_attributes` = '{""1"":""1"",""2"":""10""}' WHERE 1=1  and cart_id = '4' "," ::1 "," URL: http://localhost/MultiVendor/customer-login "," R: http://localhost/MultiVendor/cart"
"2023-01-18 04:21:11am "," update "," UPDATE customer_cart SET `quantity` = 3, `elements_attributes` = '{""1"":""1"",""2"":""11""}' WHERE 1=1  and cart_id = '2' "," ::1 "," URL: http://localhost/MultiVendor/customer-login "," R: http://localhost/MultiVendor/cart"
"2023-01-18 04:21:11am "," update "," UPDATE customer_cart SET `quantity` = 3, `elements_attributes` = '{""10"":""144""}' WHERE 1=1  and cart_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/customer-login "," R: http://localhost/MultiVendor/cart"
"2023-01-18 04:23:32am "," update "," UPDATE product_details SET `view_count` = 156 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/shop"
"2023-01-18 04:24:28am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '115', '1', '{""1"":""1"",""2"":""10""}') "," ::1 "," URL: http://localhost/MultiVendor/customer-login "," R: http://localhost/MultiVendor/cart"
"2023-01-18 04:24:28am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '1', 2, '{""1"":""1"",""2"":""11""}') "," ::1 "," URL: http://localhost/MultiVendor/customer-login "," R: http://localhost/MultiVendor/cart"
"2023-01-18 04:24:28am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '129', '1', '{""10"":""144""}') "," ::1 "," URL: http://localhost/MultiVendor/customer-login "," R: http://localhost/MultiVendor/cart"
"2023-01-18 04:29:15am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '115' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/cart"
"2023-01-18 04:29:19am "," delete "," DELETE FROM customer_cart WHERE 1=1  and product_id = '129' and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/Home/removeFromCart "," R: http://localhost/MultiVendor/cart"
"2023-01-18 04:31:10am "," update "," UPDATE product_details SET `view_count` = 43 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 04:40:03am "," update "," UPDATE product_details SET `view_count` = 2 WHERE 1=1  and product_id = '29' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-black-slim-fit-casual-shirt-m-black-vne98q7y-29 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 04:40:29am "," update "," UPDATE product_details SET `view_count` = 3 WHERE 1=1  and product_id = '29' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-black-slim-fit-casual-shirt-m-black-vne98q7y-29 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 04:40:30am "," update "," UPDATE product_details SET `view_count` = 4 WHERE 1=1  and product_id = '29' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-black-slim-fit-casual-shirt-m-black-vne98q7y-29 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 04:40:31am "," update "," UPDATE product_details SET `view_count` = 5 WHERE 1=1  and product_id = '29' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-black-slim-fit-casual-shirt-m-black-vne98q7y-29 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 04:40:32am "," update "," UPDATE product_details SET `view_count` = 6 WHERE 1=1  and product_id = '29' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-black-slim-fit-casual-shirt-m-black-vne98q7y-29 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 04:40:33am "," update "," UPDATE product_details SET `view_count` = 7 WHERE 1=1  and product_id = '29' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-black-slim-fit-casual-shirt-m-black-vne98q7y-29 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 04:40:33am "," update "," UPDATE product_details SET `view_count` = 8 WHERE 1=1  and product_id = '29' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-black-slim-fit-casual-shirt-m-black-vne98q7y-29 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 04:40:34am "," update "," UPDATE product_details SET `view_count` = 9 WHERE 1=1  and product_id = '29' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-black-slim-fit-casual-shirt-m-black-vne98q7y-29 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 04:40:34am "," update "," UPDATE product_details SET `view_count` = 10 WHERE 1=1  and product_id = '29' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-black-slim-fit-casual-shirt-m-black-vne98q7y-29 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 04:40:35am "," update "," UPDATE product_details SET `view_count` = 11 WHERE 1=1  and product_id = '29' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-black-slim-fit-casual-shirt-m-black-vne98q7y-29 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 04:40:35am "," update "," UPDATE product_details SET `view_count` = 12 WHERE 1=1  and product_id = '29' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-black-slim-fit-casual-shirt-m-black-vne98q7y-29 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 04:40:37am "," update "," UPDATE product_details SET `view_count` = 13 WHERE 1=1  and product_id = '29' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-black-slim-fit-casual-shirt-m-black-vne98q7y-29 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 04:40:38am "," update "," UPDATE product_details SET `view_count` = 14 WHERE 1=1  and product_id = '29' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-black-slim-fit-casual-shirt-m-black-vne98q7y-29 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 04:40:38am "," update "," UPDATE product_details SET `view_count` = 15 WHERE 1=1  and product_id = '29' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-black-slim-fit-casual-shirt-m-black-vne98q7y-29 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 04:40:39am "," update "," UPDATE product_details SET `view_count` = 16 WHERE 1=1  and product_id = '29' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-black-slim-fit-casual-shirt-m-black-vne98q7y-29 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 04:40:39am "," update "," UPDATE product_details SET `view_count` = 17 WHERE 1=1  and product_id = '29' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-black-slim-fit-casual-shirt-m-black-vne98q7y-29 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 04:40:40am "," update "," UPDATE product_details SET `view_count` = 18 WHERE 1=1  and product_id = '29' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-black-slim-fit-casual-shirt-m-black-vne98q7y-29 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 04:40:42am "," update "," UPDATE product_details SET `view_count` = 2 WHERE 1=1  and product_id = '39' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-blue-slim-fit-pure-cotton-solid-casual-shirt-m-sky-vne98q7y-39 "," R: http://localhost/MultiVendor/product-detail/men-black-slim-fit-casual-shirt-m-black-vne98q7y-29"
"2023-01-18 04:41:53am "," update "," UPDATE product_details SET `view_count` = 3 WHERE 1=1  and product_id = '39' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-blue-slim-fit-pure-cotton-solid-casual-shirt-m-sky-vne98q7y-39 "," R: http://localhost/MultiVendor/product-detail/men-black-slim-fit-casual-shirt-m-black-vne98q7y-29"
"2023-01-18 04:41:54am "," update "," UPDATE product_details SET `view_count` = 4 WHERE 1=1  and product_id = '39' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-blue-slim-fit-pure-cotton-solid-casual-shirt-m-sky-vne98q7y-39 "," R: http://localhost/MultiVendor/product-detail/men-black-slim-fit-casual-shirt-m-black-vne98q7y-29"
"2023-01-18 04:41:55am "," update "," UPDATE product_details SET `view_count` = 5 WHERE 1=1  and product_id = '39' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-blue-slim-fit-pure-cotton-solid-casual-shirt-m-sky-vne98q7y-39 "," R: http://localhost/MultiVendor/product-detail/men-black-slim-fit-casual-shirt-m-black-vne98q7y-29"
"2023-01-18 04:42:00am "," update "," UPDATE product_details SET `view_count` = 44 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 04:42:52am "," update "," UPDATE product_details SET `view_count` = 45 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-18 04:42:56am "," update "," UPDATE product_details SET `view_count` = 2 WHERE 1=1  and product_id = '8' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xxl-green-vnky8c75-8 "," R: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5"
"2023-01-18 04:43:14am "," update "," UPDATE product_details SET `view_count` = 3 WHERE 1=1  and product_id = '8' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xxl-green-vnky8c75-8 "," R: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5"
"2023-01-18 04:43:15am "," update "," UPDATE product_details SET `view_count` = 4 WHERE 1=1  and product_id = '8' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xxl-green-vnky8c75-8 "," R: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5"
"2023-01-18 04:43:17am "," update "," UPDATE product_details SET `view_count` = 7 WHERE 1=1  and product_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-l-green-vnky8c75-7 "," R: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xxl-green-vnky8c75-8"
"2023-01-18 04:43:28am "," update "," UPDATE product_details SET `view_count` = 8 WHERE 1=1  and product_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-l-green-vnky8c75-7 "," R: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xxl-green-vnky8c75-8"
"2023-01-18 04:44:20am "," update "," UPDATE product_details SET `view_count` = 9 WHERE 1=1  and product_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-l-green-vnky8c75-7 "," R: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xxl-green-vnky8c75-8"
"2023-01-18 04:44:20am "," update "," UPDATE product_details SET `view_count` = 10 WHERE 1=1  and product_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-l-green-vnky8c75-7 "," R: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xxl-green-vnky8c75-8"
"2023-01-18 04:45:31am "," update "," UPDATE product_details SET `view_count` = 11 WHERE 1=1  and product_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-l-green-vnky8c75-7 "," R: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xxl-green-vnky8c75-8"
"2023-01-18 04:45:32am "," update "," UPDATE product_details SET `view_count` = 12 WHERE 1=1  and product_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-l-green-vnky8c75-7 "," R: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xxl-green-vnky8c75-8"
"2023-01-18 04:45:34am "," update "," UPDATE product_details SET `view_count` = 46 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-l-green-vnky8c75-7"
"2023-01-18 04:46:37am "," update "," UPDATE product_details SET `view_count` = 47 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-l-green-vnky8c75-7"
"2023-01-18 04:46:40am "," update "," UPDATE product_details SET `view_count` = 13 WHERE 1=1  and product_id = '7' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-l-green-vnky8c75-7 "," R: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5"
"2023-01-18 04:46:51am "," update "," UPDATE product_details SET `view_count` = 5 WHERE 1=1  and product_id = '8' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xxl-green-vnky8c75-8 "," R: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-l-green-vnky8c75-7"
"2023-01-18 04:53:08am "," update "," UPDATE product_details SET `view_count` = 6 WHERE 1=1  and product_id = '8' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xxl-green-vnky8c75-8 "," R: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-l-green-vnky8c75-7"
"2023-01-18 04:53:14am "," update "," UPDATE product_details SET `view_count` = 29 WHERE 1=1  and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-m-green-vnky8c75-6 "," R: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xxl-green-vnky8c75-8"
"2023-01-18 04:53:52am "," update "," UPDATE product_details SET `view_count` = 30 WHERE 1=1  and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-m-green-vnky8c75-6 "," R: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xxl-green-vnky8c75-8"
"2023-01-18 04:53:56am "," update "," UPDATE product_details SET `view_count` = 48 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-m-green-vnky8c75-6"
