"2023-01-19 01:34:56am "," update "," UPDATE product_details SET `view_count` = 167 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1"
"2023-01-19 01:36:05am "," delete "," DELETE FROM customer_cart WHERE 1=1  and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2023-01-19 01:45:44am "," update "," UPDATE product_details SET `view_count` = 7 WHERE 1=1  and product_id = '67' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-white-solid-kurta-with-churidar-m-green-vnky8c75-67 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-19 01:45:52am "," update "," UPDATE product_details SET `view_count` = 8 WHERE 1=1  and product_id = '62' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-maroon-regular-kurta-pyjamas-with-jacket-m-maroon-vnky8c75-62 "," R: http://localhost/MultiVendor/product-detail/men-green-white-solid-kurta-with-churidar-m-green-vnky8c75-67"
"2023-01-19 01:45:53am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '62', '1', '{""1"":""2"",""2"":""86""}') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/men-maroon-regular-kurta-pyjamas-with-jacket-m-maroon-vnky8c75-62"
"2023-01-19 01:46:19am "," insert "," INSERT INTO orders(`order_number`, `customer_id`, `total_item`, `total_mrp`, `total_quantity`, `total_amount`, `gst_amount`, `discount_amt`, `order_date`, `is_active`, `delivery_status_id`, `shipping_address`, `delivery_address`) VALUES('OD202223-11674072979', '1', 1, 1344, 1, 1075, 144, 268.8, '2023-01-19', 1, 1, '<strong>Roshni Mistry</strong><br>test,30 valsad ,<br>valsad , Haryana ,<br>India - 3963001<br>Phone no : 08866594677', '{""name"":""Roshni Mistry"",""mobile"":""08866594677"",""address"":""test,30 valsad ,\u003Cbr\u003Evalsad , Haryana ,\u003Cbr\u003EIndia - 3963001"",""city"":""valsad"",""state"":""Haryana"",""country"":""India"",""pincode"":""3963001""}') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2023-01-19 01:46:19am "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `mrp_price`, `total_amt`, `discount`, `return_or_replace`, `return_replace_validity`, `discount_amt`, `gst`, `gst_amt`, `vendor_id`, `elements_attributes`, `order_date`) VALUES('6', '62', 'Men Maroon Regular Kurta Pyjamas with Jacket', '1', '1075', '1344', 1075, '20', 'return,replace', '7', '20'_amt, '12', '12'_amt, '1', '{""Size"":""M"",""Color"":""MAROON""}', '2023-01-19') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2023-01-19 01:46:19am "," insert "," INSERT INTO stock_details(`product_id`, `old_stock`, `ordered_qty`, `current_stock`, `status`) VALUES('62', 5, '1', 4, 2) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2023-01-19 01:46:19am "," update "," UPDATE product_details SET `stock` = 4 WHERE 1=1  and product_id = '62' "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2023-01-19 01:46:19am "," insert "," INSERT INTO payment_details(`payment_mode`, `order_id`, `customer_id`, `total_pay_amount`, `payment_date`, `pay_status`) VALUES('cod', '6', '1', 1075, '2023-01-19', 1) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2023-01-19 01:46:19am "," delete "," DELETE FROM customer_cart WHERE 1=1  and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2023-01-19 01:51:21am "," update "," UPDATE product_details SET `view_count` = 8 WHERE 1=1  and product_id = '67' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-white-solid-kurta-with-churidar-m-green-vnky8c75-67 "," R: http://localhost/MultiVendor/shop?category=men"
"2023-01-19 01:51:22am "," update "," UPDATE product_details SET `view_count` = 9 WHERE 1=1  and product_id = '62' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-maroon-regular-kurta-pyjamas-with-jacket-m-maroon-vnky8c75-62 "," R: http://localhost/MultiVendor/product-detail/men-green-white-solid-kurta-with-churidar-m-green-vnky8c75-67"
"2023-01-19 01:51:24am "," update "," UPDATE product_details SET `view_count` = 5 WHERE 1=1  and product_id = '63' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-maroon-regular-kurta-pyjamas-with-jacket-l-maroon-vnky8c75-63 "," R: http://localhost/MultiVendor/product-detail/men-maroon-regular-kurta-pyjamas-with-jacket-m-maroon-vnky8c75-62"
"2023-01-19 01:51:24am "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '63') "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-maroon-regular-kurta-pyjamas-with-jacket-l-maroon-vnky8c75-63 "," R: http://localhost/MultiVendor/product-detail/men-maroon-regular-kurta-pyjamas-with-jacket-m-maroon-vnky8c75-62"
"2023-01-19 01:51:25am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '63', '1', '{""1"":""3"",""2"":""86""}') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/men-maroon-regular-kurta-pyjamas-with-jacket-l-maroon-vnky8c75-63"
"2023-01-19 01:51:35am "," insert "," INSERT INTO orders(`order_number`, `customer_id`, `total_item`, `total_mrp`, `total_quantity`, `total_amount`, `gst_amount`, `discount_amt`, `order_date`, `is_active`, `delivery_status_id`, `shipping_address`, `delivery_address`) VALUES('OD202223-11674073295', '1', 1, 1344, 1, 1075, 144, 268.8, '2023-01-19', 1, 1, '<strong>Roshni Mistry</strong><br>test,30 valsad ,<br>valsad , Haryana ,<br>India - 3963001<br>Phone no : 08866594677', '{""name"":""Roshni Mistry"",""mobile"":""08866594677"",""address"":""test,30 valsad ,\u003Cbr\u003Evalsad , Haryana ,\u003Cbr\u003EIndia - 3963001"",""city"":""valsad"",""state"":""Haryana"",""country"":""India"",""pincode"":""3963001""}') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2023-01-19 01:51:35am "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `mrp_price`, `total_amt`, `discount`, `return_or_replace`, `return_replace_validity`, `discount_amt`, `gst`, `gst_amt`, `vendor_id`, `elements_attributes`, `order_date`) VALUES('7', '63', 'Men Maroon Regular Kurta Pyjamas with Jacket', '1', '1075', '1344', 1075, '20', 'return,replace', '7', '20'_amt, '12', '12'_amt, '1', '{""Size"":""L"",""Color"":""MAROON""}', '2023-01-19') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2023-01-19 01:51:35am "," insert "," INSERT INTO stock_details(`product_id`, `old_stock`, `ordered_qty`, `stock_out`, `current_stock`, `status`) VALUES('63', 5, '1', '1', 4, 2) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2023-01-19 01:51:35am "," update "," UPDATE product_details SET `stock` = 4 WHERE 1=1  and product_id = '63' "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2023-01-19 01:51:35am "," insert "," INSERT INTO payment_details(`payment_mode`, `order_id`, `customer_id`, `total_pay_amount`, `payment_date`, `pay_status`) VALUES('cod', '7', '1', 1075, '2023-01-19', 1) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2023-01-19 01:51:35am "," delete "," DELETE FROM customer_cart WHERE 1=1  and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2023-01-19 01:53:09am "," update "," UPDATE product_details SET `stock` = 14, `modified_by` = '1', `modified` = '2023-01-19 01:53:09' WHERE 1=1  and product_id = '62' "," ::1 "," URL: http://localhost/MultiVendor/submit-stock "," R: http://localhost/MultiVendor/edit-stock/62"
"2023-01-19 01:53:09am "," insert "," INSERT INTO stock_details(`product_id`, `status`, `old_stock`, `stock_in`, `current_stock`, `created`) VALUES('62', 1, '4', '10', 14, '2023-01-19 01:53:09') "," ::1 "," URL: http://localhost/MultiVendor/submit-stock "," R: http://localhost/MultiVendor/edit-stock/62"
"2023-01-19 01:57:02am "," update "," UPDATE product_details SET `stock` = 14, `modified_by` = '1', `modified` = '2023-01-19 01:57:02' WHERE 1=1  and product_id = '63' "," ::1 "," URL: http://localhost/MultiVendor/submit-stock "," R: http://localhost/MultiVendor/edit-stock/63"
"2023-01-19 01:57:02am "," insert "," INSERT INTO stock_details(`product_id`, `status`, `old_stock`, `stock_in`, `current_stock`, `created`) VALUES('63', 1, '4', '10', 14, '2023-01-19 01:57:02') "," ::1 "," URL: http://localhost/MultiVendor/submit-stock "," R: http://localhost/MultiVendor/edit-stock/63"
