"2022-12-01 04:04:14am "," update "," UPDATE product_details SET `view_count` = 16 WHERE 1=1  and product_id = '14' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-s-teal-vnky8c75-14 "," R: http://localhost/MultiVendor/home"
"2022-12-01 04:47:40am "," update "," UPDATE product_details SET `view_count` = 6 WHERE 1=1  and product_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-l-white-vnky8c75-3 "," R: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1"
"2022-12-01 04:47:40am "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '3') "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-l-white-vnky8c75-3 "," R: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1"
"2022-12-01 04:47:47am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '3', '1', '{""1"":""3"",""2"":""11""}') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-l-white-vnky8c75-3"
"2022-12-01 04:47:47am "," update "," UPDATE product_details SET `view_count` = 7 WHERE 1=1  and product_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-l-white-vnky8c75-3 "," R: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-l-white-vnky8c75-3"
"2022-12-01 04:47:53am "," update "," UPDATE customer_cart SET `quantity` = 2, `elements_attributes` = '{""1"":""3"",""2"":""11""}' WHERE 1=1  and cart_id = '8' "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-l-white-vnky8c75-3"
"2022-12-01 04:47:54am "," update "," UPDATE product_details SET `view_count` = 8 WHERE 1=1  and product_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-l-white-vnky8c75-3 "," R: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-l-white-vnky8c75-3"
"2022-12-01 04:48:02am "," update "," UPDATE customer_cart SET `quantity` = '1' WHERE 1=1  and customer_id = '1' and product_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/Home/updateItemQuantity "," R: http://localhost/MultiVendor/cart"
"2022-12-01 04:48:29am "," update "," UPDATE product_details SET `view_count` = 19 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/shop?category=men-topwear&cid=4"
"2022-12-01 04:48:31am "," update "," UPDATE product_details SET `view_count` = 9 WHERE 1=1  and product_id = '3' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-l-white-vnky8c75-3 "," R: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1"
"2022-12-01 04:49:26am "," insert "," INSERT INTO orders(`order_number`, `customer_id`, `total_item`, `total_mrp`, `total_quantity`, `total_amount`, `gst_amount`, `discount_amt`, `order_date`, `is_active`, `delivery_status_id`, `shipping_address`) VALUES('OD202223-11669850366', '1', 1, 447, 1, 210, 47.88, 236.91, '2022-12-01', 1, 1, '<strong>Roshni Mistry</strong><br>test,30 valsad ,<br>valsad , Haryana ,<br>India - 3963001<br>Phone no : 08866594677') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-12-01 04:49:26am "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `mrp_price`, `total_amt`, `discount`, `return_or_replace`, `return_replace_validity`, `discount_amt`, `gst`, `gst_amt`, `vendor_id`, `elements_attributes`) VALUES('3', '3', 'Men White Pure Cotton T-shirt', '1', '210', '447', 210, '53', 'return,replace', '7', '53'_amt, '12', '12'_amt, '1', '{""Size"":""L"",""Color"":""WHITE""}') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-12-01 04:49:26am "," insert "," INSERT INTO payment_details(`payment_mode`, `order_id`, `customer_id`, `total_pay_amount`, `payment_date`, `pay_status`) VALUES('cod', '3', '1', 210, '2022-12-01', 1) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-12-01 04:49:26am "," delete "," DELETE FROM customer_cart WHERE 1=1  and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-12-01 04:49:48am "," update "," UPDATE product_details SET `view_count` = 8 WHERE 1=1  and product_id = '5' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5 "," R: http://localhost/MultiVendor/shop?category=men-topwear&cid=4"
"2022-12-01 04:49:52am "," update "," UPDATE product_details SET `view_count` = 2 WHERE 1=1  and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-m-green-vnky8c75-6 "," R: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5"
"2022-12-01 04:49:52am "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '6') "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-m-green-vnky8c75-6 "," R: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-xl-green-vnky8c75-5"
"2022-12-01 04:49:55am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '6', '1', '{""1"":""2"",""2"":""109""}') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-m-green-vnky8c75-6"
"2022-12-01 04:49:55am "," update "," UPDATE product_details SET `view_count` = 3 WHERE 1=1  and product_id = '6' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-m-green-vnky8c75-6 "," R: http://localhost/MultiVendor/product-detail/men-green-solid-regular-fit-round-neck-t-shirt-m-green-vnky8c75-6"
"2022-12-01 04:51:34am "," insert "," INSERT INTO orders(`order_number`, `customer_id`, `total_item`, `total_mrp`, `total_quantity`, `total_amount`, `gst_amount`, `discount_amt`, `order_date`, `is_active`, `delivery_status_id`, `shipping_address`) VALUES('OD202223-11669850494', '1', 1, 392, 1, 392, 42, 0, '2022-12-01', 1, 1, '<strong>Roshni Mistry</strong><br>test,30 valsad ,<br>valsad , Haryana ,<br>India - 3963001<br>Phone no : 08866594677') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-12-01 04:51:34am "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `mrp_price`, `total_amt`, `discount`, `return_or_replace`, `return_replace_validity`, `discount_amt`, `gst`, `gst_amt`, `vendor_id`, `elements_attributes`) VALUES('4', '6', 'Men Green Solid Regular Fit Round-neck T-shirt', '1', '392', '392', 392, '', 'return,replace', '7', ''_amt, '12', '12'_amt, '1', '{""Size"":""M"",""Color"":""GREEN""}') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-12-01 04:51:34am "," insert "," INSERT INTO payment_details(`payment_mode`, `order_id`, `customer_id`, `total_pay_amount`, `payment_date`, `pay_status`) VALUES('cod', '4', '1', 392, '2022-12-01', 1) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-12-01 04:51:34am "," delete "," DELETE FROM customer_cart WHERE 1=1  and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-12-01 04:57:19am "," update "," UPDATE product_details SET `view_count` = 17 WHERE 1=1  and product_id = '14' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-s-teal-vnky8c75-14 "," R: http://localhost/MultiVendor/shop?category=men-topwear&cid=4"
"2022-12-01 04:57:22am "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '14', '1', '{""1"":""1"",""2"":""115""}') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-s-teal-vnky8c75-14"
"2022-12-01 04:57:22am "," update "," UPDATE product_details SET `view_count` = 18 WHERE 1=1  and product_id = '14' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-s-teal-vnky8c75-14 "," R: http://localhost/MultiVendor/product-detail/men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt-s-teal-vnky8c75-14"
"2022-12-01 04:57:29am "," insert "," INSERT INTO orders(`order_number`, `customer_id`, `total_item`, `total_mrp`, `total_quantity`, `total_amount`, `gst_amount`, `discount_amt`, `order_date`, `is_active`, `delivery_status_id`, `shipping_address`) VALUES('OD202223-11669850849', '1', 1, 1176, 1, 470, 126, 705.6, '2022-12-01', 1, 1, '<strong>Roshni Mistry</strong><br>test,30 valsad ,<br>valsad , Haryana ,<br>India - 3963001<br>Phone no : 08866594677') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-12-01 04:57:29am "," insert "," INSERT INTO order_details(`order_id`, `product_id`, `product_name`, `quantity`, `net_price`, `mrp_price`, `total_amt`, `discount`, `return_or_replace`, `return_replace_validity`, `discount_amt`, `gst`, `gst_amt`, `vendor_id`, `elements_attributes`) VALUES('5', '14', 'Men Teal Green Slim Fit Tropical Printed Pure Cotton T-shirt', '1', '470', '1176', 470, '60', 'return,replace', '7', '60'_amt, '12', '12'_amt, '1', '{""Size"":""S"",""Color"":""TEAL""}') "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-12-01 04:57:29am "," insert "," INSERT INTO payment_details(`payment_mode`, `order_id`, `customer_id`, `total_pay_amount`, `payment_date`, `pay_status`) VALUES('cod', '5', '1', 470, '2022-12-01', 1) "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
"2022-12-01 04:57:29am "," delete "," DELETE FROM customer_cart WHERE 1=1  and customer_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/place-order "," R: http://localhost/MultiVendor/checkout"
