"2022-11-29 01:45:18am "," insert "," INSERT INTO attributes(`attributes_name`, `created_by`, `created`) VALUES('32', '1', '2022-11-29 01:45:18') "," ::1 "," URL: http://localhost/MultiVendor/submit-attributes "," R: http://localhost/MultiVendor/add-attributes"
"2022-11-29 01:49:18am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('44', '2', '113', '2022-11-29 01:49:18') "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/duplicateRecords "," R: http://localhost/MultiVendor/all-product"
"2022-11-29 01:49:18am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('44', '6', '56', '2022-11-29 01:49:18') "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/duplicateRecords "," R: http://localhost/MultiVendor/all-product"
"2022-11-29 01:49:45am "," update "," UPDATE product_details SET `product_name` = 'Men Blue Bruce Slim Fit Heavy Fade Stretchable Jeans', `product_code` = 'JEANS-1', `short_code` = 'men-blue-bruce-slim-fit-heavy-fade-stretchable-jeans-navy-32-vnky8c75-44', `short_description` = 'Men Blue Bruce Slim Fit Heavy Fade Stretchable Jeans', `description` = '<div class=""row""><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Size &amp; Fit</span></strong></h5><ul><li style=""list-style-type: circle;"">Regular Fit</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Fabric</span></strong></h5><ul><li style=""list-style-type: circle;"">Pure Cotton</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Neck</span></strong></h5><ul><li style=""list-style-type: circle;"">Round Neck</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Sleeve Styling</span></strong></h5><ul><li style=""list-style-type: circle;"">Regular Sleeves</li></ul></div></div>', `brand_id` = '26', `category_id` = '1', `child_category` = '13', `vendor_id` = '1', `unit_price` = '1000', `mrp_price` = 1120, `discount` = '30', `net_price` = 784, `tax` = '12', `qty` = '', `gst_amt` = 120, `discount_amt` = '30'_amt, `cover_img` = 'cover_image.webp', `is_new_product` = 1, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = '', `meta_keyword` = '', `meta_description` = '', `modified_by` = '1', `modified` = '2022-11-29 01:49:45', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '44' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/44"
"2022-11-29 01:49:45am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('44', 2, '113', NULL, NULL, '2022-11-29 01:49:45') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/44"
"2022-11-29 01:49:45am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('44', 6, '151', NULL, NULL, '2022-11-29 01:49:45') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/44"
"2022-11-29 01:49:45am "," update "," UPDATE product_details SET `image` = '1.webp|2.webp|3.webp|4.webp|5.webp' WHERE 1=1  and product_id = '44' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/44"
"2022-11-29 01:50:01am "," insert "," INSERT INTO product_details(`product_name`, `product_code`, `short_code`, `short_description`, `description`, `vendor_id`, `brand_id`, `category_id`, `child_category`, `qty`, `element_id`, `attributes_id`, `unit_price`, `mrp_price`, `discount`, `discount_amt`, `net_price`, `tax`, `tag`, `gst_amt`, `image`, `cover_img`, `is_new_product`, `is_popular_product`, `is_feature_product`, `meta_title`, `meta_description`, `meta_keyword`, `warranty_title`, `warranty_detail`, `created_by`, `created`, `is_active`, `stock`) VALUES('Men Blue Bruce Slim Fit Heavy Fade Stretchable Jeans - (Duplicate)', 'JEANS-1', 'men-blue-bruce-slim-fit-heavy-fade-stretchable-jeans-navy-32-vnky8c75-44', 'Men Blue Bruce Slim Fit Heavy Fade Stretchable Jeans', '<div class=""row""><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Size &amp; Fit</span></strong></h5><ul><li style=""list-style-type: circle;"">Regular Fit</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Fabric</span></strong></h5><ul><li style=""list-style-type: circle;"">Pure Cotton</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Neck</span></strong></h5><ul><li style=""list-style-type: circle;"">Round Neck</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Sleeve Styling</span></strong></h5><ul><li style=""list-style-type: circle;"">Regular Sleeves</li></ul></div></div>', '1', '26', '1', '13', '', NULL, NULL, '1000', '1120', '30', '30'_amt, '784', '12', NULL, '120', '1.webp|2.webp|3.webp|4.webp|5.webp', 'cover_image.webp', '1', '0', '0', '', '', '', '', '', '1', '2022-11-29', 0, '30') "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/duplicateRecords "," R: http://localhost/MultiVendor/all-product"
"2022-11-29 01:50:01am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('45', '2', '113', '2022-11-29 01:50:01') "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/duplicateRecords "," R: http://localhost/MultiVendor/all-product"
"2022-11-29 01:50:01am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('45', '6', '151', '2022-11-29 01:50:01') "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/duplicateRecords "," R: http://localhost/MultiVendor/all-product"
"2022-11-29 01:50:18am "," update "," UPDATE product_details SET `product_name` = 'Men Blue Bruce Slim Fit Heavy Fade Stretchable Jeans', `product_code` = 'JEANS-1', `short_code` = 'men-blue-bruce-slim-fit-heavy-fade-stretchable-jeans-navy-34-vnky8c75-45', `short_description` = 'Men Blue Bruce Slim Fit Heavy Fade Stretchable Jeans', `description` = '<div class=""row""><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Size &amp; Fit</span></strong></h5><ul><li style=""list-style-type: circle;"">Regular Fit</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Fabric</span></strong></h5><ul><li style=""list-style-type: circle;"">Pure Cotton</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Neck</span></strong></h5><ul><li style=""list-style-type: circle;"">Round Neck</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Sleeve Styling</span></strong></h5><ul><li style=""list-style-type: circle;"">Regular Sleeves</li></ul></div></div>', `brand_id` = '26', `category_id` = '1', `child_category` = '13', `vendor_id` = '1', `unit_price` = '1000', `mrp_price` = 1120, `discount` = '30', `net_price` = 784, `tax` = '12', `qty` = '', `gst_amt` = 120, `discount_amt` = '30'_amt, `cover_img` = 'cover_image.webp', `is_new_product` = 1, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = '', `meta_keyword` = '', `meta_description` = '', `modified_by` = '1', `modified` = '2022-11-29 01:50:18', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '45' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/45"
"2022-11-29 01:50:18am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('45', 2, '113', NULL, NULL, '2022-11-29 01:50:18') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/45"
"2022-11-29 01:50:18am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('45', 6, '152', NULL, NULL, '2022-11-29 01:50:18') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/45"
"2022-11-29 01:50:18am "," update "," UPDATE product_details SET `image` = '1.webp|2.webp|3.webp|4.webp|5.webp' WHERE 1=1  and product_id = '45' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/45"
"2022-11-29 01:50:26am "," insert "," INSERT INTO product_details(`product_name`, `product_code`, `short_code`, `short_description`, `description`, `vendor_id`, `brand_id`, `category_id`, `child_category`, `qty`, `element_id`, `attributes_id`, `unit_price`, `mrp_price`, `discount`, `discount_amt`, `net_price`, `tax`, `tag`, `gst_amt`, `image`, `cover_img`, `is_new_product`, `is_popular_product`, `is_feature_product`, `meta_title`, `meta_description`, `meta_keyword`, `warranty_title`, `warranty_detail`, `created_by`, `created`, `is_active`, `stock`) VALUES('Men Blue Bruce Slim Fit Heavy Fade Stretchable Jeans - (Duplicate)', 'JEANS-1', 'men-blue-bruce-slim-fit-heavy-fade-stretchable-jeans-navy-34-vnky8c75-45', 'Men Blue Bruce Slim Fit Heavy Fade Stretchable Jeans', '<div class=""row""><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Size &amp; Fit</span></strong></h5><ul><li style=""list-style-type: circle;"">Regular Fit</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Fabric</span></strong></h5><ul><li style=""list-style-type: circle;"">Pure Cotton</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Neck</span></strong></h5><ul><li style=""list-style-type: circle;"">Round Neck</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Sleeve Styling</span></strong></h5><ul><li style=""list-style-type: circle;"">Regular Sleeves</li></ul></div></div>', '1', '26', '1', '13', '', NULL, NULL, '1000', '1120', '30', '30'_amt, '784', '12', NULL, '120', '1.webp|2.webp|3.webp|4.webp|5.webp', 'cover_image.webp', '1', '0', '0', '', '', '', '', '', '1', '2022-11-29', 0, '30') "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/duplicateRecords "," R: http://localhost/MultiVendor/all-product"
"2022-11-29 01:50:26am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('46', '2', '113', '2022-11-29 01:50:26') "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/duplicateRecords "," R: http://localhost/MultiVendor/all-product"
"2022-11-29 01:50:26am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('46', '6', '152', '2022-11-29 01:50:26') "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/duplicateRecords "," R: http://localhost/MultiVendor/all-product"
"2022-11-29 01:50:41am "," update "," UPDATE product_details SET `product_name` = 'Men Blue Bruce Slim Fit Heavy Fade Stretchable Jeans', `product_code` = 'JEANS-1', `short_code` = 'men-blue-bruce-slim-fit-heavy-fade-stretchable-jeans-navy-36-vnky8c75-46', `short_description` = 'Men Blue Bruce Slim Fit Heavy Fade Stretchable Jeans', `description` = '<div class=""row""><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Size &amp; Fit</span></strong></h5><ul><li style=""list-style-type: circle;"">Regular Fit</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Fabric</span></strong></h5><ul><li style=""list-style-type: circle;"">Pure Cotton</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Neck</span></strong></h5><ul><li style=""list-style-type: circle;"">Round Neck</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Sleeve Styling</span></strong></h5><ul><li style=""list-style-type: circle;"">Regular Sleeves</li></ul></div></div>', `brand_id` = '26', `category_id` = '1', `child_category` = '13', `vendor_id` = '1', `unit_price` = '1000', `mrp_price` = 1120, `discount` = '30', `net_price` = 784, `tax` = '12', `qty` = '', `gst_amt` = 120, `discount_amt` = '30'_amt, `cover_img` = 'cover_image.webp', `is_new_product` = 1, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = '', `meta_keyword` = '', `meta_description` = '', `modified_by` = '1', `modified` = '2022-11-29 01:50:41', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '46' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/46"
"2022-11-29 01:50:41am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('46', 2, '113', NULL, NULL, '2022-11-29 01:50:41') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/46"
"2022-11-29 01:50:41am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('46', 6, '153', NULL, NULL, '2022-11-29 01:50:41') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/46"
"2022-11-29 01:50:41am "," update "," UPDATE product_details SET `image` = '1.webp|2.webp|3.webp|4.webp|5.webp' WHERE 1=1  and product_id = '46' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/46"
"2022-11-29 01:50:51am "," insert "," INSERT INTO product_details(`product_name`, `product_code`, `short_code`, `short_description`, `description`, `vendor_id`, `brand_id`, `category_id`, `child_category`, `qty`, `element_id`, `attributes_id`, `unit_price`, `mrp_price`, `discount`, `discount_amt`, `net_price`, `tax`, `tag`, `gst_amt`, `image`, `cover_img`, `is_new_product`, `is_popular_product`, `is_feature_product`, `meta_title`, `meta_description`, `meta_keyword`, `warranty_title`, `warranty_detail`, `created_by`, `created`, `is_active`, `stock`) VALUES('Men Blue Bruce Slim Fit Heavy Fade Stretchable Jeans - (Duplicate)', 'JEANS-1', 'men-blue-bruce-slim-fit-heavy-fade-stretchable-jeans-navy-36-vnky8c75-46', 'Men Blue Bruce Slim Fit Heavy Fade Stretchable Jeans', '<div class=""row""><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Size &amp; Fit</span></strong></h5><ul><li style=""list-style-type: circle;"">Regular Fit</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Fabric</span></strong></h5><ul><li style=""list-style-type: circle;"">Pure Cotton</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Neck</span></strong></h5><ul><li style=""list-style-type: circle;"">Round Neck</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Sleeve Styling</span></strong></h5><ul><li style=""list-style-type: circle;"">Regular Sleeves</li></ul></div></div>', '1', '26', '1', '13', '', NULL, NULL, '1000', '1120', '30', '30'_amt, '784', '12', NULL, '120', '1.webp|2.webp|3.webp|4.webp|5.webp', 'cover_image.webp', '1', '0', '0', '', '', '', '', '', '1', '2022-11-29', 0, '30') "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/duplicateRecords "," R: http://localhost/MultiVendor/all-product"
"2022-11-29 01:50:51am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('47', '2', '113', '2022-11-29 01:50:51') "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/duplicateRecords "," R: http://localhost/MultiVendor/all-product"
"2022-11-29 01:50:51am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('47', '6', '153', '2022-11-29 01:50:51') "," ::1 "," URL: http://localhost/MultiVendor/Admin/Product/duplicateRecords "," R: http://localhost/MultiVendor/all-product"
"2022-11-29 01:51:05am "," update "," UPDATE product_details SET `product_name` = 'Men Blue Bruce Slim Fit Heavy Fade Stretchable Jeans', `product_code` = 'JEANS-1', `short_code` = 'men-blue-bruce-slim-fit-heavy-fade-stretchable-jeans-navy-38-vnky8c75-47', `short_description` = 'Men Blue Bruce Slim Fit Heavy Fade Stretchable Jeans', `description` = '<div class=""row""><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Size &amp; Fit</span></strong></h5><ul><li style=""list-style-type: circle;"">Regular Fit</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Fabric</span></strong></h5><ul><li style=""list-style-type: circle;"">Pure Cotton</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Neck</span></strong></h5><ul><li style=""list-style-type: circle;"">Round Neck</li></ul></div><div class=""col-12 col-md-3""><h5><strong><span style=""font-size: 14px;"">Sleeve Styling</span></strong></h5><ul><li style=""list-style-type: circle;"">Regular Sleeves</li></ul></div></div>', `brand_id` = '26', `category_id` = '1', `child_category` = '13', `vendor_id` = '1', `unit_price` = '1000', `mrp_price` = 1120, `discount` = '30', `net_price` = 784, `tax` = '12', `qty` = '', `gst_amt` = 120, `discount_amt` = '30'_amt, `cover_img` = 'cover_image.webp', `is_new_product` = 1, `is_popular_product` = 0, `is_feature_product` = 0, `meta_title` = '', `meta_keyword` = '', `meta_description` = '', `modified_by` = '1', `modified` = '2022-11-29 01:51:05', `warranty_title` = '', `warranty_detail` = '', `is_active` = 1 WHERE 1=1  and product_id = '47' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/47"
"2022-11-29 01:51:05am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('47', 2, '113', NULL, NULL, '2022-11-29 01:51:05') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/47"
"2022-11-29 01:51:06am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `variant_code`, `parent_product_id`, `created`) VALUES('47', 6, '154', NULL, NULL, '2022-11-29 01:51:05') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/47"
"2022-11-29 01:51:06am "," update "," UPDATE product_details SET `image` = '1.webp|2.webp|3.webp|4.webp|5.webp' WHERE 1=1  and product_id = '47' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/edit-product/47"
"2022-11-29 01:52:00am "," update "," UPDATE product_details SET `view_count` = 1 WHERE 1=1  and product_id = '44' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-blue-bruce-slim-fit-heavy-fade-stretchable-jeans-navy-32-vnky8c75-44 "," R: http://localhost/MultiVendor/shop?category=men-topwear&cid=4"
"2022-11-29 01:53:54am "," insert "," INSERT INTO product_details(`product_name`, `product_code`, `short_code`, `short_description`, `description`, `brand_id`, `category_id`, `child_category`, `vendor_id`, `unit_price`, `mrp_price`, `discount`, `net_price`, `tax`, `qty`, `gst_amt`, `discount_amt`, `cover_img`, `stock`, `is_new_product`, `is_popular_product`, `is_feature_product`, `meta_title`, `meta_description`, `meta_keyword`, `created_by`, `created`, `warranty_title`, `warranty_detail`) VALUES('Men Black Slim Fit Mid-Rise Clean Look Stretchable Jeans', 'JEANS 02', 'men-black-slim-fit-mid-rise-clean-look-stretchable-jeans-black-30-vne98q7y', 'Men Black Slim Fit Mid-Rise Clean Look Stretchable Jeans', '<div class=""row""><div class=""col-12 col-md-3""><h5><strong>Size &amp; Fit</strong></h5><ul><li style=""list-style-type: circle;"">Regular Fit</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Fabric</strong></h5><ul><li style=""list-style-type: circle;"">Pure Cotton</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Neck</strong></h5><ul><li style=""list-style-type: circle;"">Round Neck</li></ul></div><div class=""col-12 col-md-3""><h5><strong>Sleeve Styling</strong></h5><ul><li style=""list-style-type: circle;"">Regular Sleeves</li></ul></div></div>', '30', '1', '13', '2', '1200', 1344, '45', 739, '12', '', 144, '45'_amt, 'cover_image.webp', '20', 1, 0, 0, '', '', '', '1', '2022-11-29 01:53:54', '', '') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-11-29 01:53:54am "," update "," UPDATE product_details SET `image` = '1.webp|2.webp|3.webp' WHERE 1=1  and product_id = '48' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-11-29 01:53:54am "," update "," UPDATE product_details SET `short_code` = 'men-black-slim-fit-mid-rise-clean-look-stretchable-jeans-black-30-vne98q7y-48' WHERE 1=1  and product_id = '48' "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-11-29 01:53:54am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('48', 2, '10', '2022-11-29 01:53:54') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
"2022-11-29 01:53:54am "," insert "," INSERT INTO product_elements_attributes(`product_id`, `element_id`, `attributes_id`, `created`) VALUES('48', 6, '56', '2022-11-29 01:53:54') "," ::1 "," URL: http://localhost/MultiVendor/submit-product "," R: http://localhost/MultiVendor/add-product"
